,sentence,support_keyword,after_conclusion_keyword,previous_conclusion_keyword
13,"it is therefore essential that we develop effective tools for monitoring freshwater ecosystems, identifying habitat degradation and species decline, and quantifying the effects of rehabilitation programmes.",0,0,0
14,"currently, we are lacking sufficient freshwater temperature records, and there is a need to establish proxies to reconstruct past temperature fluctuations and to set baselines against which future change can be compared.",0,0,1
15,"these proxies can be used to assess freshwater quality and then potentially create predictive models (alizadeh et al., 2017; wang et al., 2014).",0,0,0
16,this will allow us to understand how freshwater communities have responded to climate change in the past and how they might be affected in the future.,0,0,0
17,"common aquatic animals used as environmental proxies include corals, brachiopods, fish, and bivalves (hudson et al., 1976; helama et al., 2006; scourse et al., 2006).",0,0,0
18,"freshwater mussels (bivalvia: unionida) have been identified as effective indicator taxa whose abundance is often positively correlated with associated biodiversity (aldridge et al., 2007; chowdhury et al., 2016).",0,0,0
19,"their capacity to filter large volumes of water (up to 40 l per individual per day (tankersley and dimock jr., 1993)) means that their growth patterns are likely to capture information about their surrounding environment.",0,0,0
20,"annual growth bands of living organisms have been used as ecological indictors in taxa as diverse as trees, fishes and corals.",0,0,0
21,"studies have encompassed terrestrial, marine and freshwater ecosystems and covered geographies including polar, temperate and tropical regions.",0,0,0
22,the greatest attention has focused on tree rings as climatic proxies.,0,0,0
23,"by relating spatial variation in annual tree rings to anomalies in annual climate records, dendrochronology can provide a clear picture of recent (douglass, 1941) and palaeoclimatic (lamarche, 1974) patterns over long periods of time (cook et al., 1995).",0,0,0
24,proxies have also been created for environmental and climatic records of aquatic systems using a similar technique called sclerochronology.,0,0,0
25,"the annual increments in fish otoliths and scales, coral skeletons, and bivalve shells can be measured and cross-dated to provide information on factors such as climate, hydrology, pollution, reproduction and migration patterns (helama et al., 2006; rypel et al., 2008; helmle and dodge, 2011).",0,0,0
26,annual bands on bivalve mollusc shells have become widely used as a tool for ageing and reconstructing population structure.,0,0,0
27,"rings are counted from the shell margin towards the umbo, linking them with growth years (lefevre and curtis, 1912; jones, 1983).",0,0,0
28,"though genetic factors can affect early growth increments of molluscs, external factors mainly drive the visible, annual growth banding on mussel shells (coker et al., 1921; marchitto, jr. et al., 2000; gooding et al., 2009).",0,1,0
29,"thus, growth bands are good indicators of environmental parameters including temperature (davenport, 1938; kennish and olsson, 1975; helama et al., 2006), salinity (navarro, 1988; marsden and pilkington, 1996), nutrients (ansell, 1968; schöne et al., 2003a,b) and dissolved oxygen (goodwin et al., 2001).",0,0,0
30,molluscs develop these dark bands due to a discontinuity in growth and a withdrawing of the mantle during stress or large disturbances (such as colder temperatures each winter).,1,0,1
31,"when molluscs start to grow again, they do not start exactly where they left off, but a little distance back, resulting in a slight overlap in the outer layers of the shell which forms a dark band.",0,0,0
32,"annual banding of marine bivalves, specifically arctica islandica and spisula solidissima, has widely been studied for the purpose of sclerochronology and cross-matching (jones, 1983; marchitto, jr. et al., 2000; schöne et al., 2002; scourse et al., 2006), whereas very few studies have looked at the potential of freshwater bivalve banding and growth patterns as environmental indicators.",0,0,0
33,"freshwater mussels represent an attractive tool for environmental monitoring due to their clear annual rings (neves and moyer, 1988; haag and commenscarson, 2008; rypel et al., 2008), longevity (aldridge, 1999), wide geographical distribution (lopes-lima et al., 2016), high abundance and accessibility for sampling (strayer and smith, 2003), and opportunity for non-destructive ageing of live specimens (aldridge, 1999; helama and nielsen, 2008; rypel et al., 2008).",1,0,0
34,"freshwater mussels have been effectively used to interpret a variety ecological and hydrological patterns, but to date have not been used to investigate patterns in seasonal climate history.",0,0,0
35,"for example, european unionid mussels have been used to study the effects of habitat, hydrology, and sediment composition on shell morphology (zieritz and aldridge, 2009), to determine the effect of genetic differentiation on ecophenotypic differences (zieritz et al., 2010), to compare shell morphology and population dynamics in a sympatric population (aldridge, 1999), and to compare the density of freshwater mussels to overall taxon richness (aldridge et al., 2007).",1,0,0
36,"studies of growth rates in freshwater mussels of the illinois river, usa, demonstrate a general increasing trend over the past 150 years which has been attributed to impoundment, eutrophication, water quality improvements, and warming water temperatures (fritts et al., 2017).",0,0,0
37,"however, it is likely that local habitat effects and species-specific responses have additional effects on growth patterns.",0,0,0
38,"furthermore, it can be expected that environmental effects will have a differing influence on growth rates depending on the time of the year, which may render seasonal pattern studies more informative than annual studies.",0,0,0
39,"for example, a cold winter or hot summer can suppress bivalve growth, but a warmer spring can facilitate growth (killam and clapham, 2018).",1,0,0
40,"in this study, we investigated the utility of growth bands as climatic indicators in three widespread european freshwater mussel species, unio pictorum (linnaeus), unio tumidus (philipsson) and anodonta anatina (linnaeus).",0,0,0
41,"these mussels were chosen based on their international union for the conservation of nature (iucn) status of “least concern” (iucn, 2018), their abundance and widespread distribution in the river medway, and their clear annual growth rings.",0,0,0
42,"other species native to the uk and present in the river medway were less suited for our study; pseudanodonta complanata (rossmässler), is of conservation concern (iucn, 2018), while anodonta cygnea (linnaeus) is rare and localised within the river medway (aldridge, 2009).",0,0,0
43,"most previous work on bivalve growth rings have resorted to sectioning shells or sectioning hinge ligaments (neves and moyer, 1988; cerrato, 2000; goodwin et al., 2001).",0,0,0
44,"these approaches are necessary for species that are slow-growing, long-lived or subject to erosion of the external shell.",0,0,0
45,"however, the external rings of unionid mussels are typically clear and intact, allowing us to determine age without killing or damaging the specimens.",0,0,0
46,"furthermore, the three species that we used have been successfully aged by their external annuli in previous studies due to their fast growth, short lives, and little umbonal erosion (aldridge, 1999; zieritz and aldridge, 2009).",1,0,0
47,shell annulus patterns along the length of a river were investigated to understand interspecific and habitat-induced effects.,0,0,0
48,"it was anticipated that growth rates in these filter feeders would increase towards the lower reaches of the river continuum due to increased temperature and greater abundance of particulate organic matter and algae (vannote et al., 1980).",1,1,0
49,"the three objectives of our study were: (1) to compare mussel growth banding between different species and different locations along the river; (2) to assess the relationship between band spacing and annual water temperatures; and (3) to investigate the effects of seasonal climate on mussel growth, and therefore establish the use of mussel bands to document past climate changes.",0,0,0
50,"studies were conducted at three sites within a 27 km navigable reach of the river medway, kent, uk (fig. 1), encompassing the entire range of abundant mussel populations within the river.",0,0,1
51,"the most upstream site was located in haysden (51.19° n, 0.25° e) at the upper navigational limit of the river.",0,0,0
52,"the mid site was located 17 km downstream in wateringbury (51.25° n, 0.42° e) and the lowest site was located in ringlestone (51.27° n, 0.69° e), approximately 1 km upstream from the river’s tidal sluice.",0,0,0
53,"the study reach is a highly regulated lowland river, comprising 10 locks and a benthos of gravels and marginal silt.",0,0,0
54,"maximum width ranged from 15 m to 30 m and depth from < 2 m to < 4 m. littoral vegetation was dominated by nuphar lutea l. the study reach is unusual in supporting all five uk unionid mussel species: p. complanata, a. cygnea, a. anatina, u. pictorum and u. tumidus (aldridge, 2009).",0,0,0
55,"in october 2017, approximately 30 individuals from each of three species of mussels were collected from each site by hand sampling.",0,0,0
56,"studies focused on the three most numerically abundant and widespread species in the river (aldridge, 2009): a. anatina, u. pictorum and u. tumidus.",0,0,0
57,"annual bands, identified as continuous dark bands around the entire shell (aldridge, 1999), were measured from each mussel using a vernier caliper.",0,0,0
58,"individual growth parameters were determined using the walford plot model (walford, 1946; aldridge, 1999), which uses a linear regression common to de-trending individual growth series (helama and nielsen, 2008).",0,0,0
59,"compared to other methods of fitting growth curves, such as the logistic or the gompertz, this model is convenient for large numbers of individuals (walford, 1946) and assumes von bertalanffy growth curves from the equation: l cl d tm t + = + (1) where lt is length of shell at time t, lt+m is length of shell at time t + m; m is the interval at which measurements were taken (one year in this study, m = 1), c is the slope of the walford plot line, and d is the yintercept of the walford plot line.",0,0,0
60,the asymptotic length (l∞) and the growth constant (k) were then calculated for individuals of all three species at all three sites using eqs. (2) and (3).,0,0,0
61,"the theoretical maximum growth (l∞) of a mussel if allowed to grow to its full potential is determined by the equation: l d/(1 c) ∞ = − (2) where l∞ is the asymptotic length, or the y-intercept of the 45° line.",0,0,0
62,the rate at which the asymptotic length is reached is determined by the equation: k= −ln(c)/m (3) where k is the growth constant.,0,0,0
63,"to account for declining growth increments as mussels age and to plot individual mussel growth trends, the natural logarithm of all the raw growth data was taken (scourse et al., 2006).",0,0,0
64,"without doing so, the growth data for the most recent growth years would have smaller residuals since the majority of our mussels were at an age where growth had already slowed down significantly.",1,0,0
65,"this would have displayed a gradual slow of annual mussel growth over time due to ageing, not changing water parameters.",1,0,0
66,"using similar techniques as is used in tree ring width series, each mussel was plotted as the deviation from a standardised index.",0,0,0
67,"the ratios of annual actual-to-expected ring width yields a set of dimensionless ring ‘indices’ with a defined mean of 1.0 and an approximately homogeneous variance (fritts, 1976; cook et al., 1995).",0,0,0
68,"rather than averaging raw growth data, this method allows us to understand good versus bad years for growth since it displays each annulus as a positive or negative deviation from the mean index.",1,0,0
69,"this method accounts for the fact that mussels, like trees, grow at a faster rate when young.",0,0,0
70,"the index of each mussel was calculated as: i r /g t t = t (4) where rt is the ring width measured, gt is the expected ring width based on the slope and y-intercept of its walford plot, and it is the resultant growth ring standardised index with a mean of 1.0.",0,0,0
71,this analysis equalised the growth variations regardless of age or size.,0,0,0
72,"by plotting the indices of each mussel’s growth increments, a unique mean standardised growth index was created for each species at all three sites.",0,0,0
73,this ensured differences in growth trends between location and species were documented.,0,0,0
74,"since seasonal water temperatures are rarely recorded over long time scales, little research exists on how seasonal temperature changes affect mussel growth.",1,0,0
75,"using logistic modelling based on seasonal air temperatures recorded from the environment agency (ea) and meteorological office (met office), we filled in missing water temperature data to perform seasonal growth analyses.",0,0,0
76,"in order to isolate the effects of temperature from the various other factors affecting growth, we also included sex, location, and species in our analyses.",0,2,0
77,"although there are many other driving factors, literature reviews and previous research led us to conclude that temperature is the main driving factor for most other water parameters and is therefore the factor that would supply the most valuable information (domisch et al., 2013; mulholland et al., 1997; woodward et al., 2010).",0,1,0
78,"regular long-term data on water temperature within the river medway was not available (hence, the need to establish proxies), and since we started our study in 2017 and used annuli dating back to 2009, we did not have the ability to record all the necessary water temperatures directly.",1,0,2
79,"however, water temperature for shallow rivers such as the medway have been shown to closely track air temperature, especially when averaged across seasons (webb and nobilis, 1999).",0,0,1
80,"daily air temperature records from 2009 to 2016 were acquired from the uk meteorological office for the central england district (met office, 2018) along with irregularly recorded water temperature data for the same period from the uk environment agency (environment agency, 2018) at six monitoring stations identified as being closest to the study sites.",0,0,0
81,"water temperature was related to air temperature using a logistic model of the form: = + − t α 1 e w γβ t ( ) a (5) where tw is the water temperature, tα the air temperature, α the estimate of the highest water temperature, β the air temperature at the inflection point and ϒ the steepest slope of the logistic function (see benyahya et al., 2007).",0,0,0
82,"the coefficients α, β and ϒ were unknown and were calculated using numerical optimization.",0,0,0
83,"we followed the methods of webb et al. (2003), whereby the root mean square error (rmse) between the observed and calculated water temperatures was minimised.",0,0,0
84,"rmse measures the predicted values minus the observed values in a quadratic sense and can be impacted by outliers (janssen and heuberger, 1995).",0,0,0
85,"numerical optimization was undertaken using the ‘optim’ function in r (r core team, 2017) using the default nelder and mead (1965) method.",0,0,0
86,"for each site, 80% of the water temperature data was used to train the model.",0,0,0
87,"the remaining 20% used to examine model fit, the accuracy of the coefficients and transferability, again using rmse.",0,0,0
88,"all logistic models passed the rmse validation, each with a difference between validation rmse and training rmse within ± 0.4.",0,0,0
89,"this allowed daily predicted water temperatures to be calculated in the medway, which were summarized for each year and for each season: winter (december – february), spring (march – may), summer (june – august) and autumn (september – november).",0,0,0
90,"furthermore, recent literature suggests that the incorporation of both observed and predicted values into the forecasting model improves performance (alizadeh et al., 2017).",0,0,0
91,"soft-computing techniques using logistic models are becoming more popular in environmental management research (e.g. olyaie, et al., 2015).",0,0,0
92,"given that mussels primarily grow between mid-spring and midautumn and cease growth during winter (which creates the dark annual band), annual mussel growth measured by the length of each band corresponds to the temperature of the previous year’s spring, summer, and autumn and the current year’s winter.",1,1,0
93,"therefore, spring, summer, and autumn temperatures were shifted up a year to connect seasonal mean temperatures with their corresponding annual growth indices.",0,0,0
94,"for example, a growth ring created in 2012 will demarcate the outer band edge of growth and temperature information for spring 2011, summer 2011, autumn 2011, and winter 2011 (december) going into winter 2012 (january and february).",1,0,1
95,"all statistical analyses were implemented using r programming language (r core team, 2017).",0,0,0
96,"analysis of variance (anova) tests were used to determine if length-at-age curves, asymptotic lengths (l∞), or growth constants (k) differed between sites and species.",0,0,0
97,final models were created after examining pearson plots of the residuals versus fitted values and cook’s distance.,0,0,0
98,inspection of the normal q-q plots and histograms of the pearson residuals did not show deviations from homoscedasticity or normality.,0,0,0
99,"where significant differences were identified from the anovas, post hoc tukey’s honestly significant difference (hsd) tests were run using the ‘multcomp’ package (hothorn et al., 2008) to determine between group differences.",0,0,0
100,"a linear mixed-effects model (lme) was employed to analyse the relationship between standardised mussel growth indices, site, species, and antecedent seasonal temperature.",0,0,0
101,"within the model, seasonal temperature, site, and species (without interaction terms) were entered as fixed effects and individual mussel identity as a random effect.",0,0,0
102,inspection of residual plots did not reveal deviations from homoscedasticity or normality.,0,0,0
103,the likelihood ratio test was used as a means to attain p-values for each variable in the linear mixed-effects model.,0,0,0
104,this was conducted by withdrawing each variable individually and running an anova between the null model and each new model excluding one variable.,0,0,0
105,this allowed us to understand the effect of each variable individually.,0,0,0
106,the likelihood ratio test also helped us to determine which variables to include in the final model through chisquared distributions and akaike information criterion (aic).,0,0,0
107,"the lme model was created using the ‘lme4’ package (bates et al., 2015) and tukey hsd tests were again run using the ‘multcomp’ package (hothorn et al., 2008).",0,0,0
108,all significance was assessed at p < 0.05.,0,0,0
109,length-at-age curves differed significantly between sites and between species (table 1a).,0,0,0
110,"overall, mussels showed significantly larger annual lengths at ringlestone than at haysden or wateringbury.",0,0,0
111,lengths increased moving downstream from haysden to wateringbury to ringlestone.,0,0,0
112,"a. anatina had significantly higher lengths than either u. tumidus or u. pictorum, and u. pictorum had significantly higher lengths than u. tumidus (fig. 2 and table 1a).",0,0,0
113,"overall, asymptotic length (l∞) differed significantly between sites with largest asymptotic lengths downstream at ringlestone and smallest lengths at wateringbury, and between species with significantly larger l∞ in u. tumidus and a. anatina compared to u. pictorum (fig. 3a and table 1b).",0,0,0
114,"growth constant (k) also differed significantly between sites with higher k in ringlestone and in wateringbury compared to in haysden, and between species with higher k in u. pictorum and a. anatina than in u. tumidus (fig. 3b and table 1c).",0,0,0
115,"the standardised growth indices showed that growth rates were relatively low across all sites and species in 2012 and 2013, and relatively high in 2015 and 2016 (fig. 4).",0,0,0
116,"there was a strong correlation between annual growth patterns in a. anatina and u. pictorum, but less similarity between these species and u. tumidus (table 2), suggesting that not all species respond to temperature changes in the same way.",0,0,0
117,"at most sites, a. anatina and u. pictorum grew well in 2011 whereas this was a relatively poor growth year for u. tumidus.",0,0,0
118,"conversely, 2014 was a relatively good growth year for u. tumidus but a below average year for a. anatina and u. pictorum.",0,0,0
119,the linear mixed-effects model (lme) of mussel growth as a function of site (table 3) showed significantly lower growth at both ringlestone and wateringbury compared to at haysden.,0,0,0
120,annual growth indices were significantly higher in u. tumidus compared to u. pictorum.,0,0,0
121,"additional lme models were run separating u. tumidus from the other species due to its unique standardised growth trends, but all species showed similar trends in growth as a function of seasonal temperatures and site.",1,0,0
122,"seasonal water temperature was a significant predictor of mussel growth in all species (table 3 and fig. 5); warmer water temperatures in the winter, spring, and summer were associated with increased mussel growth, while warmer autumns decreased growth.",0,0,0
123,"summer temperatures had the biggest positive effect on growth, followed by spring, then winter, and finally autumn.",0,0,0
124,our data demonstrate that growth banding of freshwater mussels can serve as a powerful indicator of historic water temperatures.,0,0,0
125,"in the river medway, downstream populations were typically larger age-toage.",0,0,0
126,"u. pictorum and a. anatina shared similar years for above average and below average growth, while u. tumidus responded differently.",0,0,0
127,"warmer winters, springs and summers were correlated with wider growth bands and warmer autumns were correlated with narrower growth bands.",0,0,0
128,"all three species of mussel had lowest length-at-age growth trends at the upstream river site, haysden, and higher trends downstream.",0,0,0
129,"these patterns were further supported by our finding that downstream mussels had higher asymptotic lengths, indicating that these individuals have the potential to reach larger sizes.",1,0,0
130,"mussels also showed larger growth constants downstream, but these statistics were mainly driven by a. anatina from ringlestone.",0,0,0
131,"the relationship between growth constant and the asymptotic length is usually negative so that larger growth constants often correlate with lower asymptotic lengths and indicate that the asymptotic length is reached at a faster rate (bauer, 1992; aldridge, 1999).",1,0,0
132,"both u. pictorum and u. tumidus had lowest growth constants in ringlestone, meaning they would reach their asymptotic lengths at a slower rate.",1,1,0
133,this could be because all mussels in ringlestone had greater asymptotic lengths and would therefore need more time to reach their maxima.,1,0,0
134,"u. tumidus had the highest asymptotic length and the lowest growth constant overall, whereas u. pictorum had the lowest asymptotic length and the highest growth constant.",0,1,1
135,"thus, within these two species, a higher asymptotic growth length was coupled with having a lower growth constant.",0,0,0
136,"elevated growth rates at downstream sites may be driven by higher algal productivity and greater abundance of fine particulate organic matter typically found downstream (vannote et al., 1980; zieritz et al., 2010; moss, 2011).",0,0,1
137,"it is also possible that faster sporadic flow rates in upstream locations of lowland rivers such as the medway may impose further restrictions on shell morphology that constrain growth rates (zieritz and aldridge, 2009).",0,0,0
138,"similar downstream growth patterns have been found from rivers elsewhere (e.g. mussels in the colorado river delta, mexico and fish in the warta river, poland) and have been explained by increasing salinity, reduced oxygen uptake, increasing amounts of fine-grained sediments, and increasing food availability downstream (ansell, 1968; navarro, 1988; przybylski, 1996; schöne et al., 2003a).",0,0,0
139,water temperature variation in the river medway affected mussel growth in all four seasons during our study period.,0,0,0
140,"this relationship was positive in summer, spring, and winter, meaning mussel growth increased with rising water temperatures.",1,0,0
141,"conversely, this relationship was negative in autumn, and mussel growth declined with rising water temperatures.",0,1,0
142,"the increase in growth with temperature from winter to summer is most likely due to the fact that higher temperatures increase the metabolic activity of mussels and extend the annual growing period, therefore increasing the rate of shell production (bolotov et al., 2018).",1,0,0
143,"along with the direct physiological effects that water temperature has on mussel growth, there are many indirect effects of temperature which may also impact growth, reproduction, and survival.",0,0,1
144,"previous studies have shown strong correlations between temperature and various environmental conditions which drive mussel growth, many of which increase with rising temperatures; these include phytoplankton abundance (robarts and zohary, 1987), particulate organic carbon (poc) (page and hubbard, 1987; kasai et al., 2010), chlorophyll a concentration (an indicator of phytoplankton levels) (kautsky, 1982; kasai et al., 2010; kasai and hirakawa, 2015; tanabe et al., 2017), excretion of dissolved organic carbon (doc) from phytoplankton (zlotnik and dubinsky, 1989) and nutrient availability (nitrogen, phosphorous, and silicate) (rhee and gotham, 1981; kasai et al., 2010), all reaching peak levels around the same time as the main growing season of mussels.",0,0,0
145,"while warmer temperatures generally resulted in positive growth, our study also documented a decline in growth at higher autumnal temperatures.",0,0,0
146,"similar reduction in growth of unionid mussels during elevated temperatures has been reported by mann and glomb (1978), mann (1979), and bayne and worrall (1980).",0,0,0
147,"the negative relationship between increasing autumnal temperatures and mussel growth may result from attempting to grow (driven by an increased metabolism) at a time of limited food quality and quantity, resulting in an overall net loss of energy and a decrease in the ability to put on weight or increase shell length.",1,0,0
148,"in addition to the stress of high temperatures, species u. tumidus and u. pictorum already have high metabolic demands during the autumn due to the energy requirement of tissue histolysis and histogenesis following their summer spawning period (mann, 1979; aldridge, 1999).",1,1,0
149,"therefore, the temperature-induced additional metabolic drive during a season of re-growth and low food availability may hinder overall shell production.",0,0,0
150,it is important to note that an increase in growth rate does not necessarily indicate a healthier population.,0,0,1
151,"although increases in nutrients and phytoplankton (following temperature rises) promote increased growth rates in mussels, these higher growth rates can result in reduced longevity, abundance, and species richness (haag and rypel, 2011; ridgway et al., 2011; fritts et al., 2017).",1,1,0
152,"while this study demonstrates that mussel growth banding is significantly affected by seasonal water temperatures, and therefore documents valuable climate change data within freshwater ecosystems, understanding the full impact of temperature-accelerated growth rates on mussel communities and other freshwater biota requires further investigation.",0,0,0
153,"additionally, other water parameters that often differ per location, such as hydrology, and biotic factors, such as population density and parasite load (zieritz and aldridge, 2011), were not measured in this study and may have had further effects on annual growth.",0,0,1
154,"among our study species, annual summer water temperatures followed by spring water temperatures had the biggest effects on growth indices, supporting the knowledge that mussels grow mainly in the warmer months of spring and summer.",0,0,0
155,"the significant effects of seasonal temperatures on growth indices suggest that it is possible to use mussel growth increments to study past freshwater climate trends, particularly those of warmer seasons, and indicate that projected climate change will affect the future growth patterns of freshwater mussels.",1,0,0
156,"by using growth rings to represent warmer or colder years, sclerochronology records can be created for the uk river systems to study long-term temperature fluctuations, which may help us to understand environmental changes occurring in these freshwater ecosystems.",0,0,0
157,"longlived, easily identifiable species at a single site may allow for long-term chronologies to be established, as is developed for marine bivalves.",0,1,0
158,"since u. tumidus has the highest asymptotic lengths and takes the longest amount of time to reach these lengths, individuals of this species could contain the most rings and thus hold longer environmental records.",1,0,0
159,"upon looking at individual species trends, u. tumidus also shows the greatest separation in asymptotic length and growth constant trends across sites suggesting that it might be the best species for studying water parameters between locations.",0,0,1
160,"while annual mussel growth increments had significant relationships with seasonal climate data, the species in this study only provided between three to seven growth rings, limiting the amount of climate data we could match.",0,1,0
161,"it would be beneficial, therefore, to create chronologies from longer-lived species, such as anodonta cygnea (linnaeus) (the swan mussel) (aldridge, 1999) to create more comprehensive freshwater histories.",0,0,0
162,"additional use of museum collections with known collection dates would allow further cross-matching of in situ shell material which can last for decades with intact annuli (bauer, 1992).",0,1,1
163,"such studies may establish robust baselines against which future changes in growth rates can be compared, and thus may serve as an early warning of impending changes to mussel populations.",0,0,0
164,"this idea has already been utilised in dendrochronology; a study performed in iran used tree-rings and an artificial neural network (ann) to create a model that simulated groundwater levels from tree-ring diameter and precipitation inputs (gholami et al., 2015).",0,0,1
165,"given the ecosystem engineering role of freshwater mussels, changes in mussel size or population structure could impact entire freshwater communities.",0,0,0
166,"documenting valuable information, their annual bands might allow us to determine how whole ecosystems are responding to environmental changes.",0,0,0
167,species-level and habitat-level effects can make a difference on interpretations of growth when using mussels as indicators of temperature change.,0,0,0
168,"the annual pattern of mean standardised growth indices of a. anatina and u. pictorum were highly correlated within all three sites, implying that annual effects dominated site effects.",1,0,0
169,"however, while these annual growth trends were relatively consistent down the river, they often opposed the growth trends of u. tumidus.",0,0,0
170,this further emphasizes the importance of species in the study of environmental parameters since they may differ in habitat preferences and respond differently to environmental change.,1,0,0
171,"between our three species, a. anatina prefers sandy and gravel substrate (bauer and wächtler, 2001), u. pictorum prefers firm, muddy substrate (aldridge, 1999), and u. tumidus prefers finely grained clay substrate (annie et al., 2013).",0,0,0
172,"zajac et al. (2016) revealed that while a. anatina and u. pictorum occupied similar niches in a single lake, u. tumidus was the only mussel species of the five studied that showed no relation to any of the measured habitat variables.",0,0,0
173,"while all three of our study sites support diverse and abundant mussel communities, they differ in physical composition.",0,0,0
174,"haysden consisted mainly of gravel sediment, wateringbury was dominated by organic pellets and silt, and ringlestone was characterised by a sticky clay substrate.",0,0,0
175,"ringlestone contained the most favourable substrate for u. tumidus, which could explain why the greatest differences in u. tumidus growth compared to the other species occurred at this site (years 2010, 2011, 2014, and 2015).",0,0,0
176,"since u. tumidus may have greater growth potential in ringlestone (significantly higher l∞ at this site), drastic temperature changes might have a more noticeable effect on growth.",1,0,0
177,different spawning and fertilisation times between species may also have an impact on their response to changing seasonal temperatures.,0,0,0
178,"aldridge (1999) found mature glochidia in the outer demibranchs of both unio species from may to june (summer), and of a. anatina from december to march (winter into spring).",0,0,0
179,"this could account for some of the varying trends in the standardised growth, with particularly slowed growth associated with periods when brooding coincides with especially unfavourable temperatures for growth.",0,0,0
180,"for example, in 2012, low summer temperatures correlated with a low growth index in u. tumidus, and in 2014, low spring temperatures correlated with a low growth index in a. anatina.",1,0,0
181,"when using annuli of mussels as indicators to past climate trends, understanding the competing effects of seasonality as well as specieslevel and habitat-level effects can help us to build better chronologies based on the specific mussels being studied.",0,0,0
182,"overall, using longer-lived species from downstream populations could provide the strongest data on historical spring and summer temperatures in river systems.",0,0,0
183,"eventually, by using established relationships between growth and temperature, we could cross-reference banding patterns on older, undated in situ shells to create longer temperature chronologies and reconstruct historical climates.",0,0,0
184,"while seasonal temperatures have been shown to be significant correlates of growth in this study, it is possible that additional parameters may be important and some of these may be directly associated with temperature.",0,0,0
185,"further studies might investigate the effects on growth of phytoplankton levels, poc, doc, water flow rates, and nutrient levels such as n, p, and silicate.",0,0,0
186,"future work could also include the effects of sex, additional locations, and more species (preferably longer living species).",0,0,0
187,patterns in additional river systems and over longer timeframes could also be considered.,0,0,0
188,"ultimately, it may be possible to use mussel annuli patterns to reconstruct historical climatic patterns.",0,0,0
189,"freshwater ecosystems are highly vulnerable to climate change and are experiencing global habitat loss, species declines, and population shifts (dudgeon et al., 2006; markovic et al., 2014).",0,0,0
190,"current biomonitoring schemes may be undermined by climate change since they are largely based on responses to organic pollution with little consideration of the increasing influence of climate (woodward et al., 2010).",1,0,0
191,"presently, we have relatively few tools available for understanding temperature patterns in freshwater systems, and those that exist often require destructive sampling and specialist equipment.",0,0,0
192,"mussels offer an attractive tool for documenting water temperatures due to their clear annuli (capable of documenting large amounts of environmental information), longevity, global dispersal, accessibility, and the ability to measure their growth non-destructively.",1,0,0
193,"the established relationship between winter, spring, and summer temperatures and annuli length will aid in the use of mussels to study past freshwater temperatures and to understand the impacts that climate change may have on freshwater ecosystems in the future.",0,0,0
